['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170613T101031_33_43'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180205T100211_83_17'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T95032_75_6'],"['Discontinuous urban fabric', 'Industrial or commercial units', 'Coniferous forest', 'Mixed forest']","[10, 14, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94161_75_25'],"['Coniferous forest', 'Peatbogs']","[1, 12]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171016T101009_34_34'],"['Coniferous forest', 'Mixed forest', 'Sea and ocean']","[1, 0, 9]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171016T101009_41_59'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170905T095031_41_58'],"['Broad-leaved forest', 'Mixed forest', 'Transitional woodland/shrub']","[4, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171208T093351_4_6'],['Broad-leaved forest'],[4]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170923T100019_7_11'],"['Pastures', 'Coniferous forest', 'Mixed forest']","[7, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94030_85_47'],"['Coniferous forest', 'Mixed forest']","[1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180508T104031_8_9'],"['Discontinuous urban fabric', 'Pastures', 'Complex cultivation patterns', 'Coniferous forest', 'Mixed forest']","[10, 7, 6, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170825T093029_88_75'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[6, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180506T100031_45_84'],"['Coniferous forest', 'Mixed forest']","[1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180526T100031_34_2'],['Mixed forest'],[0]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T094029_88_12'],"['Coniferous forest', 'Mixed forest']","[1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170617T113321_59_74'],"['Non-irrigated arable land', 'Pastures']","[2, 7]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171201T112431_16_49'],"['Permanently irrigated land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest', 'Transitional woodland/shrub']","[13, 6, 5, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112109_39_76'],['Continuous urban fabric'],[18]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T094159_70_20'],"['Non-irrigated arable land', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112110_68_9'],"['Complex cultivation patterns', 'Transitional woodland/shrub', 'Burnt areas']","[6, 3, 42]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170725T100029_1_72'],"['Coniferous forest', 'Bare rock', 'Peatbogs']","[1, 29, 12]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180201T093219_78_30'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[10, 2, 6, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180502T093039_82_43'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Transitional woodland/shrub']","[6, 5, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170613T101031_52_48'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Complex cultivation patterns', 'Coniferous forest', 'Mixed forest']","[10, 2, 6, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112111_82_42'],"['Agro-forestry areas', 'Broad-leaved forest']","[11, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T95032_22_51'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170720T100031_84_36'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170808T094029_3_29'],"['Non-irrigated arable land', 'Complex cultivation patterns']","[2, 6]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T95032_16_14'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Water bodies']","[5, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T112110_70_59'],"['Non-irrigated arable land', 'Vineyards', 'Agro-forestry areas', 'Broad-leaved forest']","[2, 20, 11, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T94132_35_31'],"['Industrial or commercial units', 'Coniferous forest', 'Mixed forest', 'Water bodies']","[14, 1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180511T100029_81_38'],"['Beaches, dunes, sands', 'Sea and ocean']","[31, 9]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180527T093041_42_15'],"['Coniferous forest', 'Mixed forest']","[1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170716T093039_10_90'],"['Coniferous forest', 'Mixed forest']","[1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170701T093031_58_19'],"['Coniferous forest', 'Transitional woodland/shrub']","[1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180508T104031_18_69'],"['Discontinuous urban fabric', 'Broad-leaved forest', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[10, 4, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180205T100211_2_42'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Mixed forest', 'Water bodies']","[5, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171015T104009_12_34'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation']","[10, 2, 6, 5]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180326T112109_74_17'],"['Non-irrigated arable land', 'Transitional woodland/shrub']","[2, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180526T100031_57_4'],"['Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180421T114349_39_33'],"['Non-irrigated arable land', 'Pastures']","[2, 7]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170905T95032_26_54'],"['Coniferous forest', 'Peatbogs']","[1, 12]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171219T095409_60_83'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[10, 2, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T094031_55_88'],['Non-irrigated arable land'],[2]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170906T101019_0_63'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170817T101019_82_5'],"['Non-irrigated arable land', 'Coniferous forest', 'Mixed forest']","[2, 1, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T094159_28_51'],"['Non-irrigated arable land', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest']","[2, 5, 1]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171201T112431_88_31'],"['Non-irrigated arable land', 'Pastures']","[2, 7]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170814T100029_85_39'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170701T093031_2_68'],"['Non-irrigated arable land', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180522T093029_45_34'],"['Coniferous forest', 'Mixed forest', 'Water bodies']","[1, 0, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180318T093031_58_59'],"['Non-irrigated arable land', 'Complex cultivation patterns', 'Water bodies']","[2, 6, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171016T101009_25_25'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Transitional woodland/shrub']","[5, 1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171019T102019_61_61'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180220T114339_45_52'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Pastures']","[10, 2, 7]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94031_13_23'],"['Broad-leaved forest', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[4, 1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180201T093219_54_45'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Natural grassland', 'Transitional woodland/shrub']","[5, 4, 15, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170906T101019_27_60'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170906T101019_88_36'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180526T100031_42_20'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170831T095029_42_81'],"['Non-irrigated arable land', 'Complex cultivation patterns']","[2, 6]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20180413T095031_1_45'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171208T093351_85_62'],"['Pastures', 'Broad-leaved forest', 'Transitional woodland/shrub']","[7, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170927T94020_10_59'],"['Non-irrigated arable land', 'Broad-leaved forest']","[2, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180515T094029_74_60'],"['Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub', 'Water bodies']","[1, 0, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170930T095019_23_36'],"['Non-irrigated arable land', 'Pastures', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 7, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171101T94132_80_18'],"['Coniferous forest', 'Transitional woodland/shrub', 'Water bodies']","[1, 3, 8]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T093019_73_20'],"['Non-irrigated arable land', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112112_10_6'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180525T94031_41_40'],"['Land principally occupied by agriculture, with significant areas of natural vegetation', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[5, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170818T103021_13_76'],"['Pastures', 'Coniferous forest', 'Transitional woodland/shrub']","[7, 1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20171112T114339_90_52'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20170818T103021_66_21'],"['Non-irrigated arable land', 'Mixed forest']","[2, 0]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170825T093029_41_54'],"['Broad-leaved forest', 'Coniferous forest', 'Transitional woodland/shrub']","[4, 1, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170914T93030_5_23'],"['Pastures', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[7, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180223T101019_53_56'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170814T100029_9_38'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170924T93020_39_8'],"['Non-irrigated arable land', 'Pastures', 'Broad-leaved forest', 'Transitional woodland/shrub']","[2, 7, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171221T112501_58_44'],"['Complex cultivation patterns', 'Broad-leaved forest', 'Transitional woodland/shrub']","[6, 4, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180220T114339_40_81'],"['Non-irrigated arable land', 'Pastures', 'Peatbogs']","[2, 7, 12]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171104T095201_4_6'],"['Discontinuous urban fabric', 'Non-irrigated arable land', 'Vineyards', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest']","[10, 2, 20, 5, 4]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180204T94161_39_67'],"['Non-irrigated arable land', 'Coniferous forest', 'Mixed forest', 'Transitional woodland/shrub']","[2, 1, 0, 3]"
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2A_MSIL2A_20171002T112112_6_34'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20180220T114339_79_48'],['Sea and ocean'],[9]
['/home/potpov/Projects/PycharmProjects/trainship/pytorch_divcolor/datasets/bigearth/images/S2B_MSIL2A_20170808T094029_62_4'],"['Complex cultivation patterns', 'Land principally occupied by agriculture, with significant areas of natural vegetation', 'Broad-leaved forest', 'Mixed forest', 'Transitional woodland/shrub', 'Peatbogs']","[6, 5, 4, 0, 3, 12]"
